Bird,Species,Mass (g),Location,VO2 (mL/hour),VO2 (W),Mechanical Power (W),Efficiency (%),Wing Loading (N/m^2),Stroke Amplitude (deg),Wingbeat Frequency (Hz),Wing Length Single Wing (mm),Wing Area (mm^2),Aspect Ratio
Violet_capped_woodnymph_03,Thalurania glaucopis,5.33,"Ubatuba, Brazil",199.79,1.171,0.1265,12,28.36,138.98,29.15,56.9,1841.04,7.03
Violet_capped_woodnymph_04,Thalurania glaucopis,4.76,"Ubatuba, Brazil",141.1,0.827,0.1106,14.87,24.59,128.14,30.78,59.27,1898.65,7.4
Violet_capped_woodnymph_05,Thalurania glaucopis,5,"Santa Santa Virginia, Brazil, Brazil",165.15,0.9679,0.1265,14.53,26.25,131.46,32.3,58.43,1867.56,7.31
Violet_capped_woodnymph_07,Thalurania glaucopis,4.85,"Santa Santa Virginia, Brazil, Brazil",162.6,0.953,0.1221,14.23,28.53,142.25,31.69,56.02,1666.31,7.53
Violet_capped_woodnymph_08,Thalurania glaucopis,5.16,"Santa Virginia, Brazil",201.89,1.1833,0.1446,13.58,29.25,130.96,32.41,57.9,1729.96,7.76
Violet_capped_woodnymph_09,Thalurania glaucopis,5.29,"Santa Virginia, Brazil",190.83,1.1185,0.1257,12.48,29.54,127.73,32.79,57.36,1754.1,7.5
Violet_capped_woodnymph_21,Thalurania glaucopis,5.07,"Campos do Jordao, Brazil",232.01,1.3599,0.1423,11.63,25.71,132.78,32.18,55.96,1932.12,6.48
Violet_capped_woodnymph_22,Thalurania glaucopis,4.5,"Campos do Jordao, Brazil",266.51,1.5621,0.1238,8.8,24.18,132.74,30.05,53.2,1824.69,6.2
Violet_capped_woodnymph_23,Thalurania glaucopis,4.79,"Campos do Jordao, Brazil",201.89,1.1833,0.118,11.08,25.39,135.32,30.59,52.92,1849.53,6.06
Violet_capped_woodnymph_24,Thalurania glaucopis,4.54,"Campos do Jordao, Brazil",166.3,0.9747,0.1191,13.58,24.03,136.35,32.72,57.8,1852.51,7.21
Violet_capped_woodnymph_25,Thalurania glaucopis,4.95,"Ubatuba, Brazil",174.4,1.0222,0.116,12.61,23.73,128.3,31.73,60.67,2048.36,7.2
Violet_capped_woodnymph_26,Thalurania glaucopis,5.53,"Ubatuba, Brazil",198.98,1.1663,0.1406,13.4,27.38,123.74,33.35,59.17,1979.14,7.08
Violet_capped_woodnymph_27,Thalurania glaucopis,5.09,"Ubatuba, Brazil",186.42,1.0926,0.1171,11.91,22.63,119.45,29.76,64.96,2202.47,7.66
White_throated_hummingbird_21,Leucochloris albicollis,6.21,"Campos do Jordao, Brazil",206.49,1.2103,0.1664,15.28,30.25,156.64,28.55,60.4,2011.4,7.26
White_throated_hummingbird_22,Leucochloris albicollis,6.03,"Campos do Jordao, Brazil",167.5,0.9817,0.164,18.57,29.93,148.39,30.55,57.3,1975.61,6.65
White_throated_hummingbird_23,Leucochloris albicollis,5.89,"Santa Virginia, Brazil",171.37,1.0044,0.1505,16.65,31.43,149.49,28.25,56.83,1837.96,7.03
White_throated_hummingbird_24,Leucochloris albicollis,6.44,"Santa Virginia, Brazil",157.56,0.9235,0.1789,21.53,32.46,149.67,29.13,56.72,1945.78,6.61
White_throated_hummingbird_25,Leucochloris albicollis,6.67,"Santa Virginia, Brazil",187.66,1.0999,0.1774,17.92,35.51,158.9,29.15,57.24,1841.38,7.12
White_throated_hummingbird_26,Leucochloris albicollis,6.41,"Santa Virginia, Brazil",160.65,0.9416,0.164,19.35,29.28,152.05,28.99,62.95,2155.21,7.39
White_throated_hummingbird_27,Leucochloris albicollis,6.58,"Campos do Jordao, Brazil",230.8,1.3527,0.1832,15.05,33.19,159.82,30.41,59.52,1943.91,7.29
White_throated_hummingbird_28,Leucochloris albicollis,5.86,"Campos do Jordao, Brazil",208.43,1.2216,0.1583,14.4,29.41,159.15,28.33,56.8,1951.66,6.61
