Protein,A1,A2,A3,A4,A5,A6,A7,A8,B9,B10,B11,B12,B13,B14,B15,B16
A2m,1423648.75,130615.34375,195828.484375,0.0,51609.484375,363423.03125,250644.0,675768.5625,371877.3125,584944.0,376910.875,214160.171875,1062540.375,437038.03125,1500124.375,452339.96875
Aacs,935790.875,896977.5,1087918.625,1359793.125,529144.0625,877834.125,576701.5,728024.75,791708.1875,702068.25,867490.0,872263.25,442822.9375,650649.625,600731.625,595542.375
Aagab,11780.6025390625,7404.181640625,0.0,0.0,7128.56982421875,10024.212890625,6801.0869140625,7771.33447265625,10444.2197265625,12185.80078125,8596.5625,8219.890625,11957.5732421875,6571.6201171875,10468.45703125,8910.9833984375
Aak1,156724.015625,202251.578125,175184.546875,173034.765625,123887.484375,177706.625,179241.890625,169990.96875,171099.546875,159308.703125,186864.296875,178942.21875,179415.734375,153989.71875,157080.25,165917.890625
Aamdc,72969.0390625,70018.5703125,97062.6875,0.0,0.0,134826.203125,94911.8515625,92502.1640625,109342.7109375,92408.3984375,107642.59375,82761.75,131217.234375,96185.90625,107731.828125,121360.2734375
Aars1,412125.1875,390847.0,389630.8125,577692.125,331271.125,357945.75,358663.15625,352450.90625,482586.4375,474940.9375,501232.75,461648.40625,391247.625,418588.6875,401212.34375,411203.8125
Aars2,82873.3203125,37015.25,42251.6484375,38803.14453125,44281.17578125,62790.50390625,40177.9765625,48048.24609375,27498.224609375,23778.390625,29016.765625,37780.8125,42228.35546875,28665.125,25497.580078125,33756.4453125
Aarsd1,385245.3125,354151.78125,389892.46875,371056.84375,292336.90625,360810.71875,274888.8125,318412.4375,304626.15625,291337.34375,275509.25,282423.125,269427.21875,267000.3125,262518.4375,297587.6875
Aasdhppt,42076.19921875,0.0,23241.65625,31934.69921875,15040.0166015625,49015.5,32136.158203125,38619.2578125,31722.1328125,33775.57421875,19950.138671875,25868.962890625,28196.98828125,22934.478515625,29058.85546875,22285.37109375
Aass,1094260.375,782049.625,854900.375,1585841.5,814459.75,1048956.25,936556.25,1034776.0,464404.25,418677.0,465720.71875,495451.34375,398237.9375,476678.21875,380133.5625,382202.03125
Abat,176197.484375,132890.421875,149072.515625,75556.609375,205095.359375,116136.0546875,196542.875,177763.984375,127331.6640625,153265.78125,133465.046875,107586.5,140584.5625,70007.390625,104880.671875,100816.3515625
Abca3,398103.15625,486606.59375,428293.84375,521495.21875,581943.1875,305894.15625,643918.375,556051.75,331043.0625,297810.09375,291084.875,480426.21875,452711.71875,471503.71875,345371.0,445291.28125
Abcb10,0.0,0.0,9645.7568359375,33034.0703125,237497.640625,10630.5458984375,0.0,15644.9853515625,23271.9296875,13972.771484375,18345.734375,54484.15234375,18132.59765625,21351.23046875,15181.322265625,20513.572265625
Abcb7,24262.8046875,27893.21484375,38622.7421875,52859.32421875,165868.078125,20278.58203125,71798.625,40916.05859375,35189.29296875,35124.85546875,27713.22265625,64940.87109375,66928.8671875,55672.15234375,27646.67578125,38601.1875
Abcc1,21197.287109375,37752.8671875,29666.3046875,35939.2109375,274765.875,31454.802734375,89977.3828125,26864.681640625,40901.5,51837.3203125,29277.013671875,72707.90625,111432.015625,90259.15625,72953.9453125,70937.203125
Abcc3,101850.8984375,49671.16796875,37834.2734375,58299.04296875,266953.84375,19762.197265625,69576.3671875,29989.0234375,34802.12890625,29972.0703125,19097.677734375,47443.08984375,53446.421875,50588.91796875,14114.759765625,24471.12890625
Abcc4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10928.384765625,0.0,0.0,15919.5185546875,0.0,5790.55615234375,0.0,0.0
Abcd1,0.0,40397.7109375,39137.484375,71346.5859375,133638.421875,53970.37109375,85841.90625,51184.03515625,45407.56640625,29947.8046875,59810.12890625,63818.00390625,21628.763671875,69762.3984375,36817.3359375,19334.046875
Abcd3,93947.8984375,242866.6875,202711.515625,326246.46875,347016.71875,167298.625,234872.71875,188620.203125,275813.90625,291455.09375,160137.15625,486719.84375,179176.6875,326262.40625,121933.8828125,151678.59375
Abce1,796577.5,668348.4375,580728.4375,788956.25,683530.9375,616790.0625,589370.0,731482.6875,654386.1875,681644.375,626688.0,643047.6875,620029.6875,609680.5625,707123.4375,661727.0
Abcf1,306891.0,263947.03125,279994.84375,315626.125,222247.046875,249651.28125,256701.71875,267464.375,296495.15625,313219.09375,349466.6875,305306.0625,332982.65625,269362.5,275391.875,322215.15625
Abcf2,161243.171875,69419.8828125,161664.609375,199533.25,14095.8798828125,106865.4453125,136663.890625,114585.203125,126025.6171875,134789.984375,142406.15625,110936.875,136741.71875,102157.7265625,123014.3125,117532.390625
Abcf3,64949.37890625,55121.4140625,67829.921875,42030.5390625,55869.00390625,59192.02734375,55575.22265625,50200.546875,54505.08984375,60718.18359375,59273.9296875,66316.234375,50654.5,55684.4140625,67077.4140625,57918.84765625
Abhd10,255052.75,139224.25,167469.71875,184643.484375,173658.90625,224394.921875,202454.21875,197701.28125,176779.28125,248615.078125,208209.609375,195736.1875,245757.421875,254745.609375,205537.875,286682.53125
Abhd11,643367.25,658249.4375,783437.0,992789.75,757348.375,1000451.0,747513.0,834596.9375,748420.625,604442.25,823960.5625,660049.5625,647972.5625,698803.75,618412.875,805262.75
Abhd12,65153.32421875,70205.65625,54483.921875,49814.9296875,137459.015625,48525.02734375,86386.390625,60686.48828125,79656.421875,90004.9921875,63331.1796875,92839.2890625,164633.546875,159018.046875,58757.71484375,70641.8203125
Abhd13,27422.123046875,10050.587890625,21365.75390625,0.0,0.0,13979.06640625,18547.974609375,17219.015625,19444.38671875,23065.048828125,14657.3740234375,22990.09765625,25462.90625,30452.8984375,18390.71484375,22622.314453125
Abhd14b,5133063.5,3481203.0,4483931.0,1890564.5,3480385.75,3028158.25,3284688.75,3441477.75,2813109.0,3454955.25,3119471.75,2563299.75,3082535.25,2349372.25,2155401.75,3088120.5
Abhd16a,134050.109375,207623.03125,137615.875,186620.703125,518697.46875,90264.1953125,184218.53125,124897.171875,115317.6875,172543.484375,98138.46875,161975.75,168997.90625,136270.8125,111862.609375,115385.3203125
Abhd17b,0.0,10173.9130859375,0.0,0.0,189674.90625,36569.71875,114930.96875,82164.6015625,65696.09375,58956.4296875,59391.38671875,87010.1328125,98221.4296875,103870.8671875,66181.4140625,85608.4296875
Abhd2,0.0,0.0,1043.3896484375,0.0,0.0,8972.05078125,2626.736328125,5001.1279296875,2966.93139648437,7161.78515625,2464.67749023437,0.0,0.0,4363.8251953125,1399.27221679687,0.0
Abhd3,96517.0546875,94806.890625,33976.421875,12062.0634765625,144975.71875,32795.42578125,61555.859375,46889.46875,47376.05859375,59009.48046875,32145.59375,38506.109375,78247.4609375,61079.21875,81707.7578125,65422.46484375
Abhd4,134840.0625,128077.046875,113059.8984375,94533.875,96322.2578125,76875.1328125,75573.1328125,85628.265625,87255.21875,116849.6171875,101115.6171875,88702.0546875,77727.6640625,84218.59375,79602.296875,78740.296875
Abhd5,115625.8828125,103045.1484375,95652.046875,275989.625,143141.59375,166899.875,110853.6640625,137242.171875,121510.7734375,118933.6015625,144102.53125,122018.8359375,98877.8828125,118916.9375,100197.015625,108976.1953125
Abhd6,77052.4296875,127524.3828125,77366.28125,34007.84375,63723.26953125,65996.671875,74213.578125,82376.4609375,101089.84375,111930.8984375,68558.1484375,88080.84375,112385.0,113763.828125,111605.2109375,97371.8828125
Abi1,137859.1875,119988.6796875,101232.03125,181611.96875,120140.703125,90743.796875,87854.015625,88279.9921875,98642.171875,109090.6171875,112689.140625,99992.2109375,126317.203125,117230.125,92571.5859375,109910.265625
Abi2,11234.646484375,31870.896484375,29826.828125,152874.234375,75168.421875,34379.14453125,32905.26171875,23195.986328125,37250.8828125,30384.302734375,41749.0703125,35805.98046875,42039.83984375,47000.7890625,28915.72265625,42413.36328125
Abitram,46107.6015625,28338.4375,37900.00390625,75131.6484375,67443.7265625,61523.61328125,36934.140625,42042.02734375,37697.53125,44433.4765625,33494.65234375,32222.189453125,36445.59375,38728.1015625,27282.630859375,26690.3828125
Ablim1,240632.71875,237022.09375,270845.21875,529232.3125,417408.90625,261655.96875,286665.875,261593.15625,107897.015625,156547.734375,182897.953125,139475.75,144633.03125,144598.84375,152523.96875,161102.359375
Abr,133281.734375,141642.859375,134194.453125,145807.625,140188.0625,123378.953125,112443.6015625,113896.953125,119336.8984375,126581.1796875,127336.0390625,115614.171875,128709.0546875,138739.796875,133559.515625,121303.7421875
Abracl,474727.34375,333765.0625,386688.6875,169070.84375,233200.359375,388921.25,211806.09375,240691.046875,189601.75,227865.0625,295944.46875,204755.59375,235409.96875,223091.140625,207356.046875,207656.84375
Abraxas2,189629.46875,222806.21875,209499.171875,274291.4375,169163.921875,180868.171875,169783.1875,164731.90625,166341.0625,183495.6875,195736.359375,187827.84375,150057.65625,178917.4375,209549.40625,186544.703125
Abt1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28096.015625,40959.3046875,50931.83984375,33571.9453125,52221.33984375,44008.7890625,23365.599609375,33918.11328125,85120.625
Acaa1a,3664624.25,4173953.25,3228336.75,6218016.0,3619828.75,4275200.0,3044761.0,3517546.0,5966847.0,5795532.0,6869912.0,5883561.0,5465533.5,5384396.0,4134130.0,5794675.0
Acaa2,8440497.0,5832975.5,6177134.0,11067250.0,7969847.5,7442070.5,9265311.0,8305092.0,4375235.5,4979686.0,5424993.5,5065897.0,6588282.0,4882722.5,4825960.0,5964133.0
Acaca,3039233.75,2391294.75,2556803.5,2096925.25,1030900.1875,2586979.25,1767558.375,2074700.875,1686567.875,1530944.25,2255857.5,1910578.5,1213182.0,1633876.5,1384406.625,1622067.125
Acacb,169075.328125,113456.7265625,114732.265625,86756.515625,0.0,85843.5546875,61614.20703125,84497.859375,88900.71875,79181.640625,98886.1640625,84388.828125,77807.796875,76283.453125,77395.7109375,74275.0625
Acad10,1276193.25,1194428.5,1200037.375,1787428.375,2139198.5,1315901.0,1515415.75,1404057.5,1260608.375,1567824.875,1480330.25,1324479.0,1642117.0,1405486.875,1471985.125,1450763.625
Acad11,334444.0625,397161.71875,280394.3125,395692.09375,426215.21875,368125.78125,363377.9375,389134.65625,634482.1875,675640.125,603590.8125,605574.8125,599676.0625,550583.5,540024.4375,554603.5
Acad8,1230317.625,1032922.9375,929647.8125,1526850.125,1849388.875,1280381.0,1319933.875,1290676.875,1268418.625,1461613.125,1416681.0,1263966.375,1532093.375,1266693.25,1449044.375,1446763.0
Acad9,1301641.5,1396804.625,1133930.5,1415461.375,1999446.375,1244514.625,1339514.125,1470996.375,1568445.0,1503739.25,1671046.625,1686969.0,1581901.75,1518554.5,1486146.0,1552308.5
Acadl,7839619.5,6386855.5,8077515.5,11345674.0,11088784.0,7122574.0,8460205.0,9144701.0,7051019.5,7680093.5,8872491.0,7887787.5,9414401.0,7431110.5,7000989.0,8504945.0
Acadm,2447778.5,2058240.0,1938235.375,3007140.75,3485778.75,2177605.5,2818398.5,2219566.25,2068593.5,2124771.75,1916839.75,2137774.5,2640087.0,1985504.0,2603291.5,2163933.25
Acads,1680702.625,1332518.625,1351487.25,2060862.25,1683909.75,1664922.25,1798965.75,1645843.625,1467615.625,1561623.125,1802166.25,1415172.375,1724684.125,1484849.875,1389844.375,1582519.0
Acadsb,1534936.125,1801380.625,1627281.0,1977584.0,2195624.25,1715782.5,1504960.5,1744218.75,1211080.5,1381404.125,1210124.0,1239837.5,1222165.25,1269317.625,1255060.625,1276643.875
Acadvl,1838730.75,1708353.5,1607212.25,2627558.25,2721884.25,1859047.375,2076211.125,2014629.0,1818033.75,1986922.875,1947001.375,2026373.25,2311812.25,2035163.875,2014662.75,2106069.75
Acap1,0.0,0.0,0.0,0.0,0.0,0.0,64795.19921875,0.0,0.0,0.0,0.0,0.0,18345.9453125,6972.35400390625,0.0,0.0
Acap2,0.0,0.0,81621.2265625,144345.71875,0.0,180400.265625,203813.0625,69828.203125,110295.5703125,97636.5390625,71608.78125,62276.99609375,71674.2109375,60106.65625,47167.921875,61846.59765625
Acat1,7011467.5,5536013.0,6459971.5,8805066.0,9130391.0,7855616.5,8946337.0,8822595.0,5328113.5,5550616.5,6567236.0,5588802.5,7333467.0,5397737.5,5227461.0,6965177.5
Acat2,2878401.0,2650339.25,3311673.25,5236471.5,1480610.25,3030064.0,2564492.0,2353591.25,2516395.0,2544505.0,3450039.5,2775902.5,1922147.0,2368845.5,2090594.5,2575484.0
Acbd3,287942.5,277206.25,251836.203125,294566.625,323716.34375,276003.71875,331840.65625,289546.71875,307981.53125,313404.03125,273216.4375,306266.4375,312075.5625,302591.65625,288085.8125,324780.84375
Acbd5,27062.10546875,0.0,8115.744140625,21088.814453125,17386.9453125,14441.7216796875,4035.55615234375,19931.58984375,7630.318359375,7989.865234375,8786.87890625,0.0,5472.29248046875,2384.04956054687,10193.1845703125,7575.81103515625
Accs,0.0,0.0,0.0,8440.0166015625,0.0,1181.71423339843,0.0,767.617492675781,2555.09521484375,3332.96118164062,697.592102050781,3081.48046875,3584.41137695312,0.0,0.0,0.0
Acin1,127859.6171875,125055.546875,142071.078125,177064.625,215749.640625,139031.171875,130571.3515625,119341.3984375,128321.4921875,135352.0,158712.28125,167355.640625,121669.6484375,162802.4375,130404.625,129663.0078125
Acly,15567941.0,9792776.0,12436018.0,19178942.0,6132110.5,12992448.0,9254893.0,10910590.0,8635262.0,7995318.5,11885762.0,9735855.0,6697187.0,7838965.0,7502210.0,8589116.0
Aco1,2024490.0,1808975.875,1736563.875,2298716.75,1461167.125,1782652.875,1642819.5,1636868.125,1946028.125,1794525.625,2015278.75,1798011.5,1452147.5,1538062.375,1669218.625,1823911.0
Aco2,15874813.0,16147950.0,13911344.0,19611652.0,19066854.0,14816439.0,14331678.0,15368879.0,15528595.0,15047078.0,16557206.0,15447472.0,17991662.0,15242537.0,15085312.0,17288816.0
Acot1,8811406.0,6318273.0,7036583.0,11767739.0,8073237.5,6814668.5,6771117.0,7275244.0,4018280.0,4120260.25,4288687.5,4019435.25,4294753.5,4042265.25,5494089.0,4981804.0
Acot11,113158.8671875,75844.625,87072.09375,117115.8125,59418.4453125,85674.1796875,56666.05078125,87199.328125,79946.03125,71825.9140625,71609.4921875,66268.9453125,70977.6171875,61584.6328125,52562.38671875,59465.30859375
Acot13,875388.9375,1251142.75,1021160.4375,988006.125,1642605.375,2930043.0,3078304.5,2050350.75,1555710.625,1128222.125,1084648.0,1574757.5,1353544.75,849517.6875,721319.0,1165028.625
Acot2,1938478.0,2606997.5,2238862.25,6198252.5,2613935.0,2906547.25,2469185.25,2624873.25,1482611.0,1368837.75,1589453.5,1490578.75,1559603.125,1441044.25,1521937.875,1898356.25
Acot7,1206377.5,738539.25,1096262.125,1615828.625,557316.5625,1084877.875,1092784.5,1056743.375,756255.25,615051.3125,932329.3125,752415.1875,615861.1875,578693.125,605933.625,735275.1875
Acot8,269675.65625,279525.46875,253728.109375,421829.25,285110.15625,388129.5625,202827.296875,278724.625,451323.78125,506340.96875,562198.0,470580.375,411699.5625,456138.875,419148.1875,486897.25
Acot9,866249.625,857552.875,724348.75,508247.9375,340967.59375,924869.125,752595.6875,991206.8125,751877.375,735910.9375,850404.5625,795261.4375,837697.75,926363.0625,866356.625,881308.9375
Acox1,1327997.5,1178305.625,1215478.0,1330586.5,949325.9375,1677974.875,1195914.25,1522657.25,2296858.5,2370571.5,2388644.25,2138770.0,1953276.0,1784192.375,1762201.125,1962660.0
Acox2,156185.203125,152384.234375,122357.1484375,194798.609375,228553.125,119200.125,134957.359375,146328.375,471425.5625,610144.4375,454194.625,474940.03125,466566.65625,346325.59375,427804.8125,416712.40625
Acox3,130231.1875,149565.4375,89863.8984375,135849.15625,94868.9453125,122598.8359375,87925.4609375,109954.6640625,151609.296875,184280.421875,146750.265625,160344.546875,239791.171875,220073.421875,123564.625,154017.4375
Acoxl,181677.84375,213600.75,216879.8125,135808.03125,104303.0390625,199621.78125,212378.515625,237831.921875,81775.0625,77197.1875,107610.5546875,140962.15625,82427.4375,104379.25,131587.65625,124085.671875
Acp1,195307.046875,141626.703125,194345.015625,263637.71875,322802.65625,280295.28125,207851.53125,262751.5625,243823.3125,215871.171875,215390.515625,221348.5,249772.46875,205334.96875,266594.15625,206825.765625
Acp2,85991.453125,111319.9921875,69298.640625,63786.234375,119538.2578125,74861.109375,81024.1640625,68788.671875,74369.34375,92334.6953125,83729.296875,74216.1171875,142038.671875,87240.015625,59138.96875,73482.6171875
Acp3,3210.80346679687,7340.18701171875,0.0,21720.849609375,50940.734375,2974.19409179687,12531.9619140625,0.0,34773.91015625,59404.09375,20627.32421875,26842.783203125,26996.501953125,24502.220703125,18037.986328125,31117.212890625
Acp5,8508.27734375,30776.91796875,39001.60546875,917343.25,790354.6875,44913.33984375,44490.6953125,138796.171875,44010.3515625,31459.27734375,29311.0703125,19128.857421875,69580.734375,65300.58984375,36251.1875,27525.177734375
Acp6,800384.25,611075.875,764005.9375,1158415.0,1156799.875,820213.9375,754624.9375,838185.75,662633.875,667575.75,642270.625,654763.625,785570.6875,718088.0,606834.125,719776.9375
Acsf2,2647097.0,2344107.25,2516139.25,3044286.0,5562636.0,1984437.25,3469887.25,2885532.0,3407205.25,4034556.0,3747172.75,3353737.5,4255370.0,2824268.75,2817141.75,3107220.75
Acsf3,288481.65625,245464.046875,277602.875,308405.125,392601.25,237778.578125,284982.9375,293073.0,252979.015625,303373.03125,283122.0,259767.875,339214.75,274954.28125,311339.375,289137.3125
Acsl1,947512.5,1224406.375,898130.8125,1315780.25,3820079.0,833196.6875,2382379.5,1434016.0,1467289.75,1785078.375,1240776.0,1569079.75,1923889.875,1332739.25,1534694.625,1553489.5
Acsl3,29937.724609375,41574.82421875,25187.119140625,54489.2421875,178122.546875,50483.0234375,72257.6953125,42462.20703125,44805.0625,51300.65234375,32533.916015625,45169.15625,87305.4375,54568.40234375,51087.9765625,59835.16015625
Acsl4,1095359.0,918483.8125,1117417.25,1038943.5625,625753.9375,1103481.75,834045.9375,1000569.125,1156276.0,975535.0,1218211.875,1032461.8125,824374.5625,901121.375,810634.625,958195.0
Acsl5,803024.8125,1076990.375,1029951.9375,1066343.125,1434008.375,892125.5625,1438034.375,1332030.375,1067584.125,1053446.375,946575.3125,1425551.75,1206702.125,1528127.75,993904.9375,1155085.875
Acsm1,1176033.625,1210525.75,853987.6875,1466395.125,2452118.5,839041.6875,1592328.125,1321204.625,1855797.125,2009684.125,1824495.0,1670529.25,1669515.25,1331454.0,1865728.5,1512920.75
Acss1,8002851.0,7195004.5,6167442.0,8328875.0,11181302.0,5969146.5,8190671.0,7839885.5,6588569.5,7922450.5,7884332.5,6505880.0,8207541.5,6256555.5,8027029.5,7235662.5
Acss2,510622.3125,384881.34375,463509.78125,330885.90625,449420.03125,275736.59375,449629.5625,394968.6875,416862.21875,442210.3125,427550.40625,449884.65625,349847.5,265015.625,379705.09375,362197.96875
Acss3,282204.90625,320576.71875,319105.78125,474012.21875,195531.90625,345527.0625,208174.53125,297073.375,147503.21875,139151.390625,191837.59375,165946.171875,122100.0078125,155272.796875,150118.171875,160277.90625
Acta1,15845.732421875,15884.986328125,5764.166015625,92677.625,6032.52294921875,9789.15234375,2969.01806640625,13526.1123046875,4030.837890625,47003.5625,2564.978515625,8486.5400390625,3023.21508789062,9250.9541015625,2742.78857421875,7219.9453125
Actb;Actg1,47287088.0,37856988.0,50255596.0,63122992.0,58441068.0,43141428.0,56475468.0,52217688.0,49905644.0,50503240.0,61597840.0,59056280.0,73261496.0,53824424.0,56872200.0,53298208.0
Actbl2,139715.375,219875.78125,242501.859375,50231.6640625,178236.5,123867.6875,204823.484375,124857.7265625,81737.0234375,114618.7421875,102085.8203125,85683.171875,51734.46484375,68526.6953125,97977.3359375,48436.05078125
Actc1,35812400.0,42743216.0,30158366.0,47334428.0,39715096.0,32491980.0,39702020.0,33898376.0,30830318.0,35177316.0,37504840.0,41693580.0,39548476.0,34432888.0,36800516.0,33631184.0
Actl6a,314862.34375,255434.890625,360198.4375,356026.09375,317346.09375,316349.9375,302524.9375,307316.3125,299310.71875,310833.625,317528.75,318722.28125,372392.59375,297328.625,326137.625,328861.4375
Actn1,5503534.0,4367484.0,4784481.0,5262452.0,3559536.0,4321729.0,4538094.0,4539108.0,3781369.0,3979938.75,4247027.0,3872951.5,4330213.5,3830926.25,4214475.5,4120644.0
Actn4,5044806.5,4077747.25,5290080.5,3816928.5,2713513.0,4661633.0,4579061.5,4582280.0,4253515.0,4000320.75,4624929.5,4135686.0,3707968.25,3749887.5,3512333.75,3964165.0
Actr10,157884.875,131186.1875,159027.90625,168493.171875,140949.578125,146330.328125,132724.71875,152537.1875,154642.09375,171512.453125,176702.546875,154675.234375,144576.078125,156666.65625,153781.859375,149257.328125
Actr1a,2343933.25,1800237.0,2164089.5,1595343.875,583324.9375,1324077.25,1138400.625,1641574.625,1793563.625,1940296.25,2339630.25,1853520.75,1595971.125,2192339.0,1972312.875,1917817.75
Actr1b,3272819.0,2602008.0,3020099.75,3822881.5,2768786.0,2544760.75,2452857.0,2473676.25,2483594.25,2748307.0,2867847.75,2515130.0,2320234.75,2789460.0,2950183.75,2605315.25
Actr2,634361.5,703485.6875,584906.625,1471083.0,1032489.625,804571.0625,816522.625,713277.375,734091.9375,579109.375,694694.4375,612864.1875,691224.125,683974.375,595714.6875,614338.4375
Actr3,2824293.25,2296705.5,2849450.25,2856469.25,2005488.625,2578197.25,2405247.0,2683569.5,2945974.0,2994649.0,3079370.75,2879673.25,3053462.75,2980145.75,2986878.0,2736144.25
Actr5,0.0,0.0,38547.2890625,165555.8125,91855.40625,40917.05078125,55577.9453125,0.0,36381.8984375,16154.4892578125,21584.2734375,37022.91015625,0.0,22538.5078125,0.0,0.0
Actr8,38494.23828125,33415.42578125,42392.0078125,39296.515625,18957.166015625,29057.046875,29355.162109375,29627.279296875,20967.931640625,34815.7734375,26418.435546875,27550.29296875,18897.51171875,24843.482421875,20882.068359375,18101.712890625
Acy1,74632.984375,91233.3203125,69782.7890625,21249.328125,21214.349609375,72304.890625,42867.55078125,61594.52734375,60516.765625,55403.91015625,58978.9375,61470.46875,53617.52734375,69850.7890625,47169.984375,47610.62890625
Acy3,159466.71875,133554.515625,145455.5625,181049.71875,164625.375,117598.6015625,93040.3984375,100398.3671875,115962.453125,102951.5390625,105867.6484375,112422.546875,76634.453125,76963.359375,74088.1953125,95626.7265625
Acyp1,321732.65625,279343.46875,283652.0625,112962.140625,460470.375,302417.90625,187723.484375,194927.5625,113213.9453125,184476.765625,146368.109375,98729.59375,158464.328125,183431.40625,183248.640625,238546.09375
Acyp2,139379.390625,68362.9375,169151.5,35141.5703125,96026.21875,62418.49609375,53944.65625,39548.671875,52027.9375,49058.2265625,56557.59375,41435.08203125,64777.1328125,60419.83984375,85237.8203125,19669.359375
Ada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Adam10,18042.65234375,29130.84375,38819.0234375,36408.20703125,155458.5,34546.46875,106629.5546875,50360.375,52937.734375,72863.2265625,52114.62890625,63742.08984375,91468.7734375,93679.8671875,29004.037109375,54435.28125
Adam17,0.0,0.0,15864.43359375,0.0,16348.4462890625,16470.203125,34230.046875,4029.7001953125,29770.263671875,18646.189453125,15884.921875,34278.6875,23784.21875,46373.4609375,14729.109375,30280.576171875
Adam25,0.0,37235.390625,30804.68359375,31986.951171875,39799.62109375,46187.8828125,49538.9140625,45407.73828125,0.0,13619.25,28364.40234375,40163.29296875,30816.5703125,24520.123046875,22598.3515625,15275.3603515625
Adam28,0.0,11270.078125,0.0,0.0,33333.7890625,3867.79028320312,11925.4794921875,6200.91552734375,8350.173828125,18842.103515625,6358.70263671875,6991.59521484375,11864.7802734375,15966.6611328125,0.0,8266.5859375
Adat3,26636.58984375,25485.392578125,28791.93359375,60339.19140625,46132.79296875,33771.62890625,33955.96875,34932.30859375,37830.75390625,34169.63671875,31848.845703125,34149.86328125,47648.93359375,48770.0703125,43361.44140625,47422.35546875
Adck2,0.0,0.0,0.0,0.0,2906.92211914062,0.0,2315.11889648437,0.0,2891.54833984375,5490.42138671875,1487.44958496093,3112.62353515625,4288.30517578125,2356.52368164062,4081.4169921875,0.0
Adck5,0.0,167388.5,0.0,0.0,127396.84375,25779.697265625,30592.646484375,29854.212890625,23343.615234375,27351.556640625,28527.779296875,36071.00390625,33975.2109375,37039.0625,25441.064453125,32729.201171875
Adcy9,0.0,3726.0908203125,4585.5859375,0.0,0.0,0.0,0.0,0.0,0.0,2697.2841796875,1186.52429199218,3020.30346679687,3364.35815429687,4521.52001953125,0.0,4795.7353515625
Add1,731529.5625,570044.6875,636218.3125,717286.0,471274.90625,607691.9375,527439.8125,577645.25,488170.40625,575718.125,546826.0,479101.65625,506341.09375,531689.6875,529462.5,486123.125
Add3,380792.34375,357537.9375,359854.875,332005.6875,274245.625,281855.375,233222.484375,292276.84375,269694.125,346474.46875,323381.21875,260803.984375,313670.875,353291.40625,352923.5,332757.0
Adgb,100502.7265625,68629.0234375,61106.125,89460.4140625,96901.7421875,66376.71875,65912.34375,58444.87109375,52453.34765625,68014.1484375,59749.41796875,59414.640625,76331.8828125,66774.0234375,94160.9296875,76466.9296875
Adgre5,0.0,0.0,0.0,5565.5849609375,26444.91015625,3202.53784179687,4421.77197265625,0.0,18058.970703125,0.0,0.0,17255.939453125,14749.892578125,25756.88671875,4830.88671875,9377.20703125
Adh1,129461.515625,167538.796875,152365.546875,108697.84375,240219.296875,78318.6875,228216.953125,96913.890625,218505.5,239842.3125,133045.90625,231160.375,143477.53125,154888.859375,133940.828125,113299.9375
Adh5,2013479.875,1846716.75,1967094.875,2700467.5,2901859.25,1714094.75,2090533.625,1985070.25,1751828.875,1989162.875,1950639.375,1936380.375,2042050.125,1895645.0,2219404.0,2119395.25
Adh7,2538516.5,3606857.0,2722466.25,2462612.75,7776969.0,2427101.75,5703639.0,2715148.25,6633305.5,6113543.0,4200806.5,6989071.0,3282706.75,3756472.0,4496121.5,3076133.75
Adhfe1,199252.34375,233611.53125,196396.234375,308431.3125,554781.0625,224361.015625,223936.421875,240432.15625,119802.21875,150563.203125,126951.609375,146387.109375,134703.625,127719.6640625,143773.21875,150562.46875
Adi1,754864.3125,645587.0625,629859.25,877737.3125,631673.375,563818.1875,554645.9375,537286.4375,516776.28125,485295.0,519144.65625,452221.71875,409128.96875,444188.34375,506119.65625,513462.28125
Adk,9366026.0,5932424.5,8004995.5,12731719.0,3423631.5,6551098.5,4761884.5,6377233.5,4041528.75,3874688.75,5123612.0,4286642.0,2835270.0,3549011.5,3833558.5,3823004.25
Adnp,51770.40625,50155.51171875,67052.0390625,166818.015625,83380.46875,73504.765625,73566.125,56816.83984375,66817.921875,70984.828125,73472.46875,76523.8828125,62013.98046875,56512.609375,53875.84765625,68685.875
Ado,121444.0078125,114954.4765625,98907.90625,115666.0625,122990.015625,111453.46875,91207.3125,93369.7890625,99590.90625,99221.8671875,103819.046875,77335.1796875,122706.5546875,102813.4140625,123131.6875,109288.4296875
Adpgk,141581.15625,171194.75,123977.8515625,154150.1875,396587.1875,112677.9453125,216392.5,164820.53125,166174.21875,166535.125,152032.484375,187654.6875,197698.984375,239614.59375,134189.375,185632.09375
Adprh,243550.65625,267903.84375,199857.4375,210263.296875,184757.671875,190938.203125,211507.15625,174591.78125,218568.140625,250109.265625,203377.171875,179610.1875,323010.28125,199443.0,303677.71875,223947.203125
Adprhl1,1.19077217578887,11336.857421875,10599.23828125,8212.15625,0.0,0.0,5341.5576171875,7237.5302734375,19188.384765625,0.0,37902.578125,16478.76171875,30220.740234375,14708.3037109375,23424.689453125,0.0
