Protein,A1,A2,A3,A4,A5,A6,A7,A8,B9,B10,B11,B12,B13,B14,B15,B16
Thoc5,21268.59375,23325.19140625,30988.42578125,37997.98046875,0.0,65196.66015625,34036.45703125,42620.16796875,38825.48046875,33539.8671875,30682.2421875,40785.578125,28965.310546875,43669.94921875,28070.201171875,30377.736328125
Thoc6,71317.4453125,108136.84375,125432.484375,132235.859375,201463.65625,94420.8515625,86584.328125,98308.890625,85171.6640625,81325.8984375,72875.5234375,90467.2421875,80507.4765625,97054.0234375,75556.171875,71567.9453125
Thop1,1058783.5,739803.9375,879848.375,756322.9375,799439.0,728771.8125,800984.4375,836612.6875,772381.125,956180.75,820151.75,800214.25,1121721.625,795433.9375,1179837.5,1003214.25
Thrap3,67929.4921875,57457.12109375,82378.375,147877.109375,129207.4375,70867.5390625,87797.125,73233.7109375,83131.6953125,89209.8828125,100685.5390625,91599.7109375,129902.1015625,115814.875,88253.5,95738.7890625
Thtpa,130434.4609375,51956.1328125,65091.32421875,68162.8125,108131.1484375,146336.453125,68458.59375,65360.0546875,63659.30859375,57241.34375,64377.4375,54187.66015625,60903.87109375,49464.890625,71645.1640625,53198.71484375
Thumpd1,262822.125,234594.015625,188720.28125,214101.5625,144364.28125,136518.8125,110699.625,162637.96875,148158.984375,145398.3125,143138.359375,134856.671875,174747.6875,184175.578125,151832.65625,160505.671875
Thumpd3,118177.59375,103888.109375,91594.53125,112195.734375,112587.2734375,91656.734375,82345.4140625,86240.7578125,79597.515625,98877.0234375,86679.4609375,80082.03125,79614.3984375,77129.046875,79342.2109375,73373.296875
Thy1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97392.6640625,0.0,0.0,0.0
Thyn1,122766.046875,88223.65625,129434.078125,183410.125,75542.6015625,115074.1953125,109321.0078125,116523.8203125,153251.65625,174038.640625,173279.53125,130066.03125,202745.875,187030.5625,221015.796875,200838.5
Tia1,113220.8984375,231288.828125,303109.15625,173236.0,157959.21875,184531.65625,135178.21875,162106.75,211771.421875,202125.09375,208522.515625,184648.328125,188187.5,198987.40625,242905.203125,187992.609375
Tial1,71916.6640625,181470.421875,96723.5390625,104297.7734375,173788.703125,126816.7109375,98286.1484375,112547.21875,146317.0625,158223.5,162056.6875,145227.359375,185447.734375,149804.734375,177885.28125,157030.671875
Tie1,43151.5546875,0.0,0.0,95400.7265625,84611.7578125,26662.78125,13863.6767578125,0.0,1775.06176757812,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tigar,288323.90625,1162587.375,665536.75,142927.34375,433126.34375,574877.9375,885580.75,612815.8125,483702.90625,555039.625,425715.875,137518.09375,335544.40625,261842.390625,396388.625,511011.75
Timm13,0.0,0.0,211884.0,23689.29296875,133856.296875,0.0,38009.703125,0.0,217296.96875,151264.09375,144225.078125,286266.34375,90220.640625,67567.71875,100849.8125,81438.3515625
Timm21,0.0,0.0,0.0,0.0,17857.642578125,0.0,0.0,0.0,0.0,0.0,0.0,8060.908203125,0.0,0.0,0.0,0.0
Timm29,0.0,0.0,43838.94140625,0.0,0.0,0.0,6258.37939453125,0.0,0.0,0.0,35299.72265625,6800.92578125,6808.29248046875,30450.822265625,0.0,0.0
Timm44,290477.09375,343115.90625,281755.65625,451928.5625,394725.59375,311789.15625,346740.125,338319.5625,323246.8125,322340.375,316847.71875,286319.65625,398689.21875,322058.1875,332845.53125,332429.15625
Timm50,78357.7109375,130686.015625,109862.71875,72652.4609375,262350.5625,59464.00390625,114173.546875,114068.8828125,114499.671875,118646.109375,101737.625,154116.625,205262.0,177580.90625,130808.921875,159232.5
